BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	L051	L066	L089	L039	L079	L001	L011	L063	L069	L077	L108	L117	L118	L006	L111	L002	L018	L041	L104	L060	L065	L099	L102	L105	L115	L043	L044	L056	L057	L062	L064	L081	L082	L083	L086	L091	NL057	L093	L098	L096	L101	L106	L114	L116	L109	NL005	NL007	NL019	NL018	NL022	NL023	NL040	NL048	NL049	NL050	NL058	NL059	NL073	NL074	NL064	NL069	NL070	NL071	NL034	NL055	NL087	NL090	NL091	NL093	NL099	NL100	NL101	NL102	NL105	NL108	NL114	NL125	NL119	NL121	NL122	NL128	NL129	NL130	NL131	NL132
(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	0.3043	0.4159	0.0634	1.1589	1.8708	0.2917	59.0567	1.5692	0.6778	0.0634	4.1546	5.7578	0.0634	0.8110	0.7847	0.8091	110.5344	1.3520	0.0706	4.0943	0.0634	0.0634	0.0634	0.4871	1.1047	0.0634	1.1404	1.7518	0.2589	0.0873	2.9955	0.1958	0.0634	0.0634	2.0531	0.0634	6.2264	0.8953	5.6413	0.2772	0.0634	0.4553	0.8152	47.0376	17.0508	0.0634	0.0634	2.1315	5.7091	0.0634	0.1310	0.0634	16.2538	6.7343	2.8361	0.0634	0.1669	0.0892	0.0634	1.5191	1.1549	0.0634	0.0634	1.8261	121.3244	0.0634	0.0634	0.0634	0.0634	0.0634	0.0634	0.0634	0.0634	0.2207	0.0634	0.0634	0.0634	0.1610	0.2031	0.4292	0.7139	0.0634	0.0634	0.3264	0.2533
1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysoplasmalogen	0.1740	0.4995	0.0295	0.1685	2.3622	0.1490	3.5659	0.0295	1.6350	0.0295	4.1670	0.0295	0.0295	0.3731	1.5130	1.1315	3.1352	0.4170	0.0632	9.0658	0.0295	0.0295	0.0295	1.2898	1.1669	0.0295	1.2841	0.0807	0.0783	0.0295	0.5714	20.3732	0.0295	0.0745	1.1863	0.0295	0.7660	1.1709	3.9338	0.8685	0.0295	0.0295	0.0565	0.4742	3.6119	0.0295	0.0295	9.5586	0.2748	0.0295	3.6595	0.0295	11.7267	0.5959	1.3122	0.0295	0.1528	0.1653	0.0295	4.0175	0.0419	0.0295	0.0295	6.8287	4.5777	0.0295	0.0295	0.3185	0.0295	0.0295	0.0295	0.3848	0.1242	0.0295	0.0295	0.0295	0.0295	0.0295	0.2509	0.0295	1.6231	0.0295	0.0295	3.7064	0.0295
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	Lysoplasmalogen	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.6850	0.1504	0.1504	0.1504	0.5770	48.1773	0.1504	0.1504	1.5114	0.1504	0.8373	0.1504	0.1504	1.4359	0.1504	0.1504	0.1504	2.2592	0.1504	0.1504	0.4856	0.1504	0.1504	0.1504	0.7013	7.2852	0.1504	0.1504	0.3987	0.1504	0.1504	0.1504	4.1267	1.0760	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	1.0000	0.1504	0.1504	0.1666	0.1504	1.3426	0.1504	0.5319	0.1504	0.1504	0.1504	0.1504	0.5694	0.1504	0.1504	0.1504	0.9862	3.4730	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	1.0126	0.1504	0.1504	1.0265	0.1504
1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	0.2956	0.5924	0.0283	2.0084	1.0528	0.5842	2.5426	0.3351	3.0131	0.0283	4.8672	27.4011	0.0283	1.0124	7.2407	3.5534	6.4502	1.9800	0.2176	26.8196	0.0283	0.0283	0.0382	4.1800	2.3477	0.0283	4.6734	0.1217	0.2303	0.1086	2.0703	31.6521	0.2929	0.7989	5.7795	0.0674	5.7690	3.1645	3.2549	5.7807	0.0283	0.1779	0.3281	0.7023	0.5626	0.0283	0.0283	17.9447	3.4006	0.8943	5.2184	0.1193	10.1989	0.1801	2.4807	0.1600	0.6074	1.0000	0.0283	15.1981	1.4883	0.0283	0.0283	4.6379	22.7610	0.0283	0.2240	0.3991	0.0283	0.0283	0.0283	0.6223	0.4350	0.0743	0.2369	0.2293	0.0283	0.0283	0.5707	0.0376	6.5191	0.0341	0.0283	13.6496	0.0349
1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	1.1051	1.6055	0.9598	0.9447	1.3499	1.6356	1.7701	1.6505	1.5605	0.6149	2.3530	7.0923	0.3784	1.5865	0.4758	2.0067	2.9189	1.0995	0.6820	2.6150	1.1550	0.7077	0.8067	1.0000	0.7946	1.8449	1.1637	1.2608	1.4813	1.7186	1.8075	4.9895	1.8953	1.4510	1.3587	1.5451	1.3710	1.0893	0.9012	0.8500	0.9853	0.8995	0.4543	0.4976	0.9497	1.4310	1.7140	3.5344	1.2410	1.1348	1.9646	1.5158	2.9928	0.9566	1.3185	0.4239	1.4963	0.7460	0.5448	1.2968	0.4302	0.7860	0.5533	1.1442	2.4996	0.6349	0.2717	0.4691	0.4199	0.5263	0.7868	0.4435	0.7995	0.8162	0.3804	0.5155	0.6206	0.3371	0.8543	0.4536	0.6903	0.3997	0.3756	1.7618	0.7612
1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	16.4646	2.2750	0.1562	0.1562	0.3238	0.1562	0.1562	0.1562	0.1562	0.1562	5.8970	0.1562	0.1562	0.1562	0.1562	0.9125	0.1562	0.1562	0.1562	0.1562	0.1562	1.7752	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	1.0000	0.1562	0.1562	0.3426	0.1562	0.1562	1.2582	2.5988	15.7080	5.7156	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.8813	0.1562	0.1562	0.1562	0.1562	0.4695	0.1562	0.1562	0.2552	0.1562	0.1562	0.1562	0.7905	0.2916	1.0406	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	4.7634	0.1562	0.1562	0.1562	0.2614	0.1562	0.1562
1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	0.4539	0.1394	0.1394	1.2643	0.1394	2.5466	5.9619	0.8454	0.1394	0.6386	0.6668	0.3761	0.1394	0.1394	1.4557	0.1394	0.1987	0.1394	3.4519	0.3835	0.1394	0.7915	0.1394	0.1635	0.1394	0.1394	2.6070	0.1394	4.3713	0.1394	0.4718	3.3035	0.1394	0.1394	0.2247	0.3050	0.1909	0.1394	1.0205	0.1394	0.1394	0.1394	2.3544	1.5422	10.1712	1.3427	0.1394	1.6201	1.5661	0.8219	1.0000	0.1394	34.5430	4.2887	0.1394	1.5995	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	7.9555	0.1394	0.1394	0.1394	0.5626	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.7917	0.8594	0.5109	0.1394	0.1394	0.1394	0.1394
1,3-propanediol	Xenobiotics	Chemical	0.2399	0.2399	0.2399	0.2399	0.4139	0.2399	25.2597	0.2399	0.2399	0.2399	1.2473	2.1966	0.2399	1.3619	0.2399	0.5900	105.3681	0.2399	1.2772	0.2399	0.2399	0.3763	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.5579	0.3769	0.4155	0.2399	0.2399	0.2399	0.6354	11.3423	0.2399	0.2399	0.2399	0.2399	1.3502	0.2399	0.2399	0.2399	1.0000	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	46.7721	0.2399	0.7769	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399
1,7-dimethylurate	Xenobiotics	Xanthine Metabolism	1.1854	0.0588	0.0488	2.3439	0.3435	1.0056	20.5221	2.7768	0.0488	0.8349	1.1224	1.3189	0.0488	0.6794	0.0688	0.0960	1.5989	0.0488	3.0564	0.5996	0.0488	1.4183	0.0488	0.2904	0.4010	0.2108	4.4267	0.0488	1.1381	0.1857	2.3875	0.0488	0.0488	0.1776	1.2078	1.0316	1.2342	0.0488	2.3987	0.0488	0.0488	0.4652	5.2867	4.9331	11.7406	2.8101	0.0488	1.3560	2.5275	0.9202	0.0488	0.1042	13.8733	4.9983	0.0488	0.0488	0.0599	0.4480	0.0488	0.0807	0.1631	0.0488	0.0700	6.4784	0.6426	0.0488	0.0488	1.0000	0.0488	0.0488	0.0488	0.3431	0.1064	0.0488	0.2275	0.1337	0.0488	0.0488	1.7423	0.0488	1.5771	0.0488	0.2091	0.2217	0.0488
10-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	0.4813	1.6737	0.1500	11.5799	3.9861	37.6368	47.5852	1.5549	0.6107	0.7509	14.1375	61.6888	11.2458	0.6053	1.0868	0.1442	18.7227	1.5162	102.9272	1.1463	0.1417	0.2868	8.1451	1.2473	0.4624	0.2775	0.6063	5.8845	6.1891	0.2601	6.3582	1.7321	0.4415	6.0989	6.4614	0.1587	21.7860	0.6134	80.8642	1.0000	0.4861	0.2783	0.3381	41.6515	14.8586	5.3678	1.1622	1.3645	15.4040	8.9723	0.2156	0.2385	27.6248	20.7341	1.5074	0.1936	0.1968	0.3678	0.2050	0.7501	4.8793	0.1921	0.2329	2.0691	8.6399	0.2985	0.3710	7.4713	0.1181	0.1342	0.2682	1.2260	6.9782	0.9998	0.5255	0.9257	0.1819	0.3984	3.2350	3.3060	0.4026	0.6324	0.0716	0.8024	0.2444
12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	0.2470	0.2470	0.6632	4.7950	0.2470	0.2470	93.0477	1.7019	0.8423	0.2470	43.5595	0.2470	0.2470	0.2470	0.2470	0.5083	136.0699	0.2470	16.8534	0.2470	0.2708	0.2470	0.2470	1.6833	0.4901	0.2470	1.4636	8.8957	0.2977	0.2470	0.2470	1.6182	1.3106	0.9350	0.2470	0.5277	0.3280	0.2470	14.9373	0.2470	0.2470	0.2470	0.3908	86.7394	11.8115	0.2470	0.3139	0.5730	14.2484	3.1952	0.6797	0.5472	24.0144	6.8824	1.1161	0.6865	0.2470	0.4950	0.2470	0.2470	0.2470	1.0650	0.4284	1.8753	80.4705	0.2470	0.2470	2.7866	0.2470	0.2470	0.3480	0.2470	0.2470	0.2470	0.2470	0.2470	0.4833	0.2470	0.6359	0.6302	0.3509	0.2470	0.2470	0.6840	1.5583
12-dehydrocholate	Lipid	Secondary Bile Acid Metabolism	0.3123	0.0912	0.0912	67.7197	0.3817	0.0912	944.6783	18.9504	0.5339	1.3813	0.4966	260.9637	0.0912	0.9361	1.0121	0.0912	2716.0886	0.0912	0.8271	0.0912	0.0912	0.9879	0.0912	8.6936	0.0912	0.0912	0.0912	56.4686	0.0912	1.1098	49.0353	0.0912	1.0765	0.0912	0.7128	0.0912	0.1921	0.0912	34.8413	0.5039	0.0912	0.0912	0.0912	395.4996	0.0912	0.0912	0.0912	0.0912	0.1826	2.3253	0.0912	0.0912	0.0912	0.9487	0.0912	0.0912	0.0912	0.7924	0.0912	0.3755	0.0912	0.0912	0.6533	0.0912	152.9863	0.6547	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	1.4493	0.0912	0.0912	0.0912	0.0912
13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	1.1751	0.9984	0.5278	1.0359	2.9183	1.4379	18.2061	1.3181	1.3785	1.9333	2.7609	1.0154	0.6002	10.6048	1.4847	0.5978	3.2578	2.6238	4.3640	6.4491	0.4620	0.8606	0.8103	1.1947	1.5468	0.8377	2.4234	1.6013	1.5898	1.2682	4.5967	1.2262	0.7836	1.0000	1.6062	0.6755	3.1509	1.3145	3.5058	1.3515	0.9140	0.9997	0.6008	6.2896	1.3665	0.4722	0.7747	1.2299	1.0475	0.4903	1.1243	0.4837	2.3971	1.3836	0.9290	0.5841	0.6008	0.9648	0.4576	2.9154	0.7497	0.6499	0.5639	1.2145	6.2168	0.8331	0.7472	0.8869	0.5188	0.6456	0.5069	0.5317	0.4868	1.4218	0.7869	0.5456	0.5322	1.1291	0.5234	0.5325	0.7005	0.3832	0.4293	1.2401	0.6275
13-methylmyristate (i15:0)	Lipid	Fatty Acid, Branched	0.6454	0.7282	0.2858	2.3139	17.4124	0.7660	12.9261	1.9056	1.4603	5.8480	4.2770	16.5473	0.3877	3.5240	1.8463	0.5484	2.4281	0.7935	30.8752	0.5746	0.1334	0.9644	0.8490	0.4520	1.9420	1.1697	3.5717	1.4993	2.2915	0.6015	4.5111	2.7251	0.2678	1.0349	0.5503	0.8220	6.7925	1.9606	1.6935	0.3913	7.5337	1.0969	0.6854	3.6879	7.2513	1.6084	0.7444	3.5696	5.1584	1.0000	0.2105	0.4269	15.6444	1.5626	7.4573	0.4430	0.5228	1.3231	0.1874	1.8508	1.4396	0.1117	0.1541	7.2518	4.0137	0.1251	0.3093	4.1506	0.2246	0.1430	0.4404	0.8287	0.2407	3.0246	0.5747	0.1492	0.2354	0.3910	0.3974	1.6544	0.3531	0.1035	0.1375	1.8081	0.3155
15-methylpalmitate (i17:0)	Lipid	Fatty Acid, Branched	0.6196	1.4520	0.4441	1.0606	29.6710	1.3002	10.1907	1.7381	3.2273	8.2263	2.6542	9.0741	0.3834	7.3552	2.3543	0.4999	0.8879	2.0794	7.1939	2.9116	0.2880	0.8246	0.6220	1.1997	2.9221	0.7421	6.6176	0.9310	2.1409	2.5198	6.6893	2.1517	0.2057	1.5224	0.4923	1.0000	5.2200	2.7251	1.9032	0.4127	5.6381	0.9411	0.7933	2.3109	4.5034	1.2694	0.8914	5.8613	1.8591	0.4918	0.5366	0.6997	10.0146	1.6850	8.8890	0.6067	0.6548	2.4042	0.2318	3.1128	0.5157	0.1294	0.1578	14.9785	0.6874	0.1389	0.5781	2.5988	0.6261	0.2151	0.3950	0.4954	0.1840	5.5878	0.7877	0.2822	0.2296	0.4596	0.2984	2.5038	0.4907	0.2587	0.2983	2.1912	0.4122
16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	0.1545	0.1545	0.1545	2.4351	0.1545	0.1545	9.2372	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	15.2464	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	1.0000	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.9916	2.1857	0.7630	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.6854	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	5.1363	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.4453	0.1545	0.1545	0.1545	0.1545
16-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	0.8165	0.7586	1.1756	0.6425	1.3575	0.5236	0.2987	1.1543	1.0039	1.1353	1.1649	0.2987	0.5345	0.5577	0.4938	0.6618	0.2987	1.0166	0.2987	0.7957	0.6033	1.7505	1.4991	1.5966	0.5237	0.5583	1.2144	1.0945	0.7084	0.5019	0.8195	1.1440	0.6066	0.9643	0.8663	0.9682	1.0257	1.7961	1.6152	1.5263	1.5547	1.2597	0.4466	0.2987	1.3155	0.5833	0.5518	0.6596	0.8630	0.7778	0.9067	0.6925	0.2987	1.0769	0.9017	1.3927	0.9972	1.8224	1.8463	1.4821	2.2658	1.4760	2.0865	1.7947	0.5454	0.7719	1.9811	1.1761	1.3653	1.7407	1.2983	1.4962	0.9861	1.5935	1.2164	2.3107	1.0028	0.5438	0.5693	0.5768	0.5469	0.6904	0.3591	0.7463	1.5847
17-methylstearate (i19:0)	Lipid	Fatty Acid, Branched	1.0911	2.3062	0.5447	0.9150	13.4888	1.8824	2.7521	1.8684	4.9216	5.2916	2.3150	10.5723	0.4183	9.8000	2.3716	0.9822	0.5750	2.3438	0.8154	3.4198	0.3204	1.1605	0.6309	1.8303	3.3007	1.0306	8.1893	0.5230	1.7764	6.4610	5.1553	1.2703	0.3629	1.2958	0.6498	0.3647	3.8257	3.2453	1.1642	0.6383	3.1151	0.8780	0.8445	1.3327	1.2695	0.9303	1.0178	4.8645	0.4019	0.6062	0.4848	0.4512	2.7242	1.4076	10.1068	0.6699	0.9490	2.1612	0.2452	4.6840	0.5088	0.1609	0.2726	12.3416	0.7677	0.2841	0.1609	0.9583	0.7643	0.2961	0.5520	0.5971	0.2589	4.8808	0.8221	0.4949	0.3584	1.1873	0.6507	2.0062	0.6393	0.2529	0.4212	2.4798	0.7561
1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	0.8551	0.0309	0.1168	0.6655	10.4383	0.5377	42.8722	0.6969	3.4040	0.0309	2.7240	73.1693	0.8503	12.5073	2.8954	0.3225	3.1708	0.0309	3.5014	1.6958	0.0984	0.0309	0.2030	0.9226	3.9093	0.0309	2.0792	0.3992	0.7131	2.2394	2.9161	1.6752	0.0309	0.6815	1.3572	0.0716	9.1993	2.3087	8.0049	0.0309	0.2189	0.5210	0.6136	3.7434	9.8624	0.0309	0.1181	4.4457	1.0143	1.8683	0.2743	0.0309	19.7351	1.0000	4.0159	0.0309	0.0309	0.7395	0.1097	3.5993	0.4197	0.0968	0.0309	8.3008	12.6299	0.1355	0.0309	2.6119	0.0309	0.2107	0.0309	0.3921	0.0309	5.7369	0.0309	0.1659	0.0748	0.6212	0.1326	0.0309	0.2635	0.0309	0.0309	2.6235	0.0309
1-linoleoyl-GPC (18:2)	Lipid	Lysophospholipid	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	11.1904	0.4622	0.4622	0.4622	0.7873	5.9796	0.4622	0.4622	0.6206	0.4622	23.9410	0.4622	0.6901	0.9055	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	3.3854	0.4622	0.4622	0.6207	0.4622	0.4622	0.4622	4.0253	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.6004	0.4622	0.4622	0.4622	0.4622	2.1281	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.5755	14.3627	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	1.0945	0.4622
1-linoleoyl-GPE (18:2)*	Lipid	Lysophospholipid	0.5032	0.3122	0.2103	0.2103	10.4111	0.2103	7.4264	0.2103	3.0813	0.2103	2.3501	0.2103	0.2103	0.2103	0.2103	0.7574	3.3955	0.2103	0.4265	13.1032	0.2103	0.2103	0.2103	0.4132	0.7909	0.2103	0.5413	0.2103	0.2103	0.2103	0.9691	2.4466	0.2103	0.2103	0.2796	0.2103	3.0370	0.8351	8.3822	0.2103	0.2103	0.2103	0.2103	0.7534	0.9349	0.2103	0.2103	3.4954	0.9838	0.2103	2.2514	0.2103	4.8535	0.2103	1.0162	0.2103	0.5873	0.2103	0.2103	1.4308	0.2103	0.2103	0.2103	2.9619	5.6127	0.2103	0.2103	0.2683	0.2103	0.2103	0.2103	0.2103	0.2103	0.2103	0.2103	0.2103	0.2103	0.2103	0.2103	0.2103	0.3132	0.2103	0.2103	1.2145	0.2103
1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	0.3163	0.3163	0.3163	0.3163	1.0399	0.3163	2.9449	0.3163	0.3163	0.3163	0.5626	46.9539	0.3163	0.3163	0.4657	0.3163	0.5164	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.6544	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	2.6182	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	2.7314	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.9601	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	2.4574	1.9917	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.3163	0.4292	0.3163
1-linoleoyl-GPI (18:2)*	Lipid	Lysophospholipid	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.6741	0.2053	0.2053	0.2053	0.2053	2.3629	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	2.0595	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2905	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	1.3259	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053	0.2053
1-margaroylglycerol (17:0)	Lipid	Monoacylglycerol	0.0761	0.0761	0.1636	0.0761	1.5252	0.5689	1.2198	3.0557	0.9127	3.3201	0.8153	3.0720	0.0761	4.8740	1.8455	0.0761	0.0761	0.0761	0.0761	0.5871	0.0761	0.0761	0.1492	0.6403	1.2014	0.0761	0.0761	0.0761	0.1982	0.0761	2.9470	0.0761	0.0761	1.7460	0.3636	0.0761	1.0873	0.0761	0.0761	0.0761	1.7890	0.8703	0.2216	0.4192	0.0761	0.1335	0.0761	1.5044	0.0761	0.0761	0.0761	0.0761	0.5255	0.1939	3.7864	0.0761	0.0761	2.0781	0.0761	1.3721	0.1074	0.0761	0.0761	1.7343	0.0761	0.0761	0.0761	0.3556	0.0761	0.0761	0.0761	0.0761	0.0761	4.5973	0.0761	0.0761	0.0761	0.0761	0.0761	0.0761	0.0761	0.0761	0.0761	0.0761	0.0761
1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	1.4540	0.3622	0.2769	1.0475	1.1642	0.5196	10.2553	1.0000	1.0871	0.9692	9.7099	1.6542	0.2991	0.1156	0.7000	1.1183	3.5340	0.9969	7.0772	4.2005	0.1156	2.6894	0.2732	1.2601	2.0204	0.7095	6.4681	0.6444	0.3157	0.8098	0.9911	1.2522	0.6461	0.4467	0.9175	0.6157	1.6932	1.0647	2.4918	0.1156	0.6193	2.5757	4.2055	5.9589	3.8035	0.3827	0.6086	2.2948	3.3662	0.3926	0.6401	1.6850	5.9252	1.4206	2.5752	0.1156	4.1731	0.2119	0.1638	2.5104	0.6307	0.1156	0.1156	1.8297	5.6089	2.8560	1.2898	0.6403	0.1156	0.2421	0.6903	0.9096	0.9022	1.9598	0.7401	0.1156	0.4226	0.3657	23.2343	0.3948	1.2684	0.1156	0.4662	0.9762	0.8977
1-methyladenine	Nucleotide	Purine Metabolism, Adenine containing	1.0098	0.0493	0.1697	0.3557	0.0493	0.0493	13.2541	0.7664	0.0493	0.7621	5.3433	4.1926	0.0493	1.0077	1.7145	0.0493	2.3501	0.0493	1.0218	0.7526	0.0493	2.6272	0.0493	1.9544	0.0493	0.0493	0.2404	0.0493	0.2802	0.9438	1.0986	1.4232	0.0493	0.0493	0.8859	1.3164	0.2795	0.0493	0.0493	2.0572	0.0493	5.7440	5.9510	8.1677	1.3845	0.0730	0.0493	2.1570	0.4200	0.0493	0.1963	1.0280	2.5981	0.4299	0.4177	0.1578	4.1661	0.4375	0.0493	5.6641	0.0493	0.0493	0.0605	0.0493	74.9662	1.3199	0.0493	0.6187	0.0493	0.0493	0.0493	0.0493	1.3136	0.1901	0.0493	0.0493	0.1879	0.9416	17.6315	0.0493	0.9923	0.0493	0.5919	0.6779	0.0810
N1-methyladenosine	Nucleotide	Purine Metabolism, Adenine containing	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	5.1559	0.1214	2.5039	0.9074	0.4202	4.6021	1.0852	0.1214	3.4276	0.1214	5.2639	0.1214	0.3443	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.8994	0.1214	0.1214	0.3535	2.2359	0.1214	0.1214	0.1214	0.1214	0.1214	2.2427	2.3819	0.2282	0.2207	0.1214	0.1214	0.9148	0.1214	0.1214	2.0684	6.0319	0.1214	0.1214	0.2848	0.1214	0.1214	0.1214	0.1214	1.4050	0.1214	0.1214	0.1214	0.1214	3.4087	0.6907	0.6996	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	0.1214	1.5516	0.1214	0.1897	0.7229	0.1214
1-methylguanidine	Amino Acid	Guanidino and Acetamido Metabolism	1.0414	0.2252	0.2252	0.2252	0.2252	0.2252	4.5301	0.4088	0.2252	0.2252	5.9941	0.9860	0.2252	0.2252	0.2252	0.2347	4.7845	0.2252	2.6837	2.1161	0.2252	0.7937	0.3386	0.2252	0.4034	0.3077	1.3790	0.2877	0.2252	0.8344	0.5965	1.6376	0.2252	0.2252	0.3356	0.7869	1.3454	0.2984	2.3069	0.2252	0.2252	0.6270	5.1057	2.7643	3.2040	0.2252	0.2252	2.6431	2.1286	0.2252	0.2252	4.3905	5.8293	1.9513	1.9607	0.2252	1.3053	0.2252	0.2252	1.0000	0.4729	0.2252	0.2252	0.2878	3.5858	0.8234	0.2656	0.5156	0.2252	0.2252	0.2252	0.2252	0.2252	0.8497	0.6381	0.2252	0.2252	0.2252	5.3859	0.2252	0.2252	0.2252	0.2252	0.2252	0.2252
1-methylhistidine	Amino Acid	Histidine Metabolism	2.1069	0.1049	0.1049	0.1049	0.2175	0.1049	7.4653	2.2503	0.5406	0.3603	15.6209	10.2782	0.1049	4.1976	0.8225	0.9242	0.1049	1.6923	0.1049	0.8468	0.1049	19.0717	0.1049	4.6775	0.9398	0.1049	0.2999	0.1049	0.1049	0.1049	2.8803	0.1049	0.1049	0.1049	1.0051	1.0000	0.3154	0.1049	6.9175	0.1049	0.1049	24.2503	29.9071	12.8609	0.1049	0.1049	0.1049	0.7401	0.1049	0.1049	0.1049	8.3905	0.1049	0.2891	0.1049	0.1049	12.1942	0.1049	0.1049	10.6079	0.1049	0.1049	0.1049	0.8333	0.1049	0.1049	0.2640	0.1049	0.1049	0.1049	0.1049	0.1049	0.3903	0.3693	0.1049	0.1049	0.1049	0.1295	122.8497	0.1049	5.9747	0.1049	0.4346	0.2585	0.4341
