BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	L051	L066	L089	L039	L079	L001	L011	L063	L069	L077	L108	L117	L118	L006	L111	L002	L018	L041	L104	L060	L065	L099	L102	L105	L115	L043	L044	L056	L057	L062	L064	L081	L082	L083	L086	L091	NL057	L093	L098	L096	L101	L106	L114	L116	L109	NL005	NL007	NL019	NL018	NL022	NL023	NL040	NL048	NL049	NL050	NL058	NL059	NL073	NL074	NL064	NL069	NL070	NL071	NL034	NL055	NL087	NL090	NL091	NL093	NL099	NL100	NL101	NL102	NL105	NL108	NL114	NL125	NL119	NL121	NL122	NL128	NL129	NL130	NL131	NL132
undecanoate (11:0)	Lipid	Medium Chain Fatty Acid	1.0429	1.1028	0.6665	1.0019	1.9179	0.6007	3.1738	1.3502	0.8376	1.1983	2.2633	0.9420	0.2950	1.5363	0.6077	0.8756	1.4940	0.7765	4.9546	1.5411	0.7367	1.7013	1.3694	1.4970	0.7672	0.8182	1.3832	1.2889	0.7361	0.6149	1.5588	0.9846	0.7907	0.7075	1.5369	0.7855	2.1814	1.1543	2.3509	1.0316	0.9548	1.8847	0.3427	1.0229	1.8957	0.8256	0.9865	0.9307	2.5562	1.0000	0.8781	0.6196	2.8258	1.5385	0.9083	0.9126	1.0975	0.8870	0.6617	0.8122	1.0456	0.6526	0.9664	1.3163	1.0619	0.7148	1.6616	1.3338	0.7194	1.2430	1.1828	0.9219	1.0161	1.1526	1.0144	1.2058	0.7018	0.3758	0.5795	0.5098	0.3853	0.4520	0.4137	0.7487	1.2963
uracil	Nucleotide	Pyrimidine Metabolism, Uracil containing	1.3840	0.8997	0.0338	1.4560	2.6685	0.5759	17.4251	0.3729	1.2494	0.2937	6.1346	14.3341	0.0450	1.2448	2.2224	2.0122	46.8260	1.2681	6.0307	3.7864	0.0324	0.2785	0.1837	0.9415	2.0993	0.0925	1.8950	0.6983	1.2564	0.7405	1.6678	3.6438	0.1397	0.2189	1.6873	0.0706	4.4638	0.9934	1.4538	0.8359	0.0944	0.2091	1.0066	5.2665	2.7444	0.0608	0.1538	4.5996	7.8883	0.3068	1.7256	0.0655	13.3053	2.7609	1.6939	0.1513	1.5148	0.2206	0.0324	3.0936	1.6729	0.0324	0.1274	4.4339	2.5745	0.1650	0.7528	1.2723	0.0729	0.0324	0.0675	0.7507	0.3833	0.1357	0.2618	0.0324	0.0324	0.1081	4.1067	0.1556	0.6250	0.0324	0.0324	3.1009	0.1845
urate	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	6.8755	0.6252	0.1317	0.7070	6.2184	0.3333	21.6208	0.7030	1.3851	0.6836	25.3390	19.3446	0.0930	4.7675	1.1311	2.0175	8.4773	0.8914	4.3612	1.1548	0.0599	9.8521	0.2842	2.1020	1.3838	0.3499	7.8047	0.3552	0.5724	0.3041	0.6387	2.8306	0.3128	0.5747	0.7224	21.5250	1.0975	0.5664	0.3625	0.4977	0.1722	21.1052	17.2233	22.1544	0.9933	0.0669	0.2614	2.0640	1.0067	0.1706	1.5162	27.6200	6.2134	0.7165	2.0409	0.4996	9.2419	0.7313	0.3602	5.6640	0.6337	0.0599	0.2365	5.1121	0.7283	8.6379	0.0599	1.1977	0.0860	20.9645	0.2270	2.4784	4.0214	1.5085	0.3834	0.1111	0.0618	0.3850	32.8098	0.1596	3.0986	0.0599	5.4348	1.4177	0.4831
urea	Amino Acid	Urea cycle; Arginine and Proline Metabolism	0.9274	0.8265	0.3891	0.2030	1.0288	1.1830	0.2030	0.9999	4.6950	6.2187	0.2030	0.2030	0.6440	0.4328	0.3690	0.6780	0.2030	0.7111	0.2030	0.2030	0.6772	85.1485	1.3656	13.2339	0.5014	0.8759	0.5153	0.9705	0.5008	1.4616	0.6914	0.2936	0.7109	0.2030	0.4433	156.4269	0.2030	1.2474	0.4668	1.0000	0.9588	175.0637	39.8763	0.2030	0.2030	0.7706	1.5382	0.2030	0.8157	4.0692	1.5318	372.5068	0.2030	0.3723	1.1408	1.4447	1.2748	3.3945	4.1534	3.4169	0.5321	1.2438	0.8752	17.8356	0.2030	15.7075	19.4615	0.8215	1.1160	35.6433	1.4521	0.8829	2.0495	11.7431	0.6878	0.8890	0.8812	3.2811	0.6528	0.6576	22.2799	0.6986	25.5273	0.2030	1.2597
uridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	1.1913	0.4837	0.1528	1.2993	1.7452	1.6096	13.4332	2.0198	0.6631	0.7495	2.6160	10.0315	0.0296	1.2997	2.7106	0.5727	16.2742	5.2867	1.0400	2.5859	0.0100	0.9238	0.6346	2.2625	2.1636	0.3035	1.2968	0.9493	1.3673	0.8761	2.1758	6.1719	0.3676	0.7069	1.5766	0.0584	2.9515	0.4118	1.2277	1.5882	0.2621	0.4379	1.3771	3.7858	0.8989	0.1274	0.6702	1.2247	5.7185	0.8199	8.4734	0.1067	1.0945	2.5891	1.0000	1.1808	0.9034	0.5150	0.0100	5.9519	1.6088	0.0494	0.5037	1.3387	16.7300	0.1512	2.2739	0.2484	0.0283	0.0808	0.2805	0.6785	0.3338	0.2982	0.4466	0.0714	0.0275	0.1240	1.0363	1.0172	2.7208	0.0100	0.0285	2.1485	0.8730
uridine-2',3'-cyclic monophosphate	Nucleotide	Pyrimidine Metabolism, Uracil containing	0.3809	0.3809	0.3809	0.3809	0.4834	0.3809	1.1772	0.3809	0.3809	0.3809	0.8175	32.4306	0.3809	0.3809	0.4065	0.3809	4.4540	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	1.1708	0.3809	1.7084	0.3809	0.3809	0.3809	0.3809	0.8758	0.3843	0.3809	0.3809	0.3809	1.1242	0.3809	0.3809	0.3809	0.7851	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.7946	5.2431	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809	5.2047	0.3809	0.3809	0.3809	0.3809	0.3809	0.3809
ursocholate	Lipid	Secondary Bile Acid Metabolism	0.1120	0.0415	0.0415	13.2992	0.1014	0.0415	334.3257	5.4991	0.2457	1.0000	1.1030	123.7346	0.0415	0.4730	0.6022	0.0834	105.9555	0.0415	18.8546	0.6380	0.0415	1.1928	0.1087	3.0119	0.0415	0.0415	0.2496	8.4537	0.1106	0.4296	60.0270	0.0415	0.0415	1.1492	4.9313	0.0415	0.2011	0.0415	172.9034	0.0415	0.0415	0.0415	0.0415	26.9785	1.1267	0.0415	0.0415	0.0723	0.2174	5.2810	0.0415	0.0415	1.2781	0.4588	0.0617	0.0415	0.0415	12.0218	0.0415	0.1744	0.0415	0.0415	0.0415	0.0415	40.7637	0.2748	0.0415	0.0415	0.0415	0.0415	0.0415	0.0415	0.0415	0.0415	0.0415	0.1978	0.0415	0.0415	0.0415	0.0415	1.3561	0.0415	0.0415	0.0415	0.0858
ursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	0.0589	0.3132	0.0589	30.6492	1.0412	0.2486	390.1821	3.1152	0.9953	0.5628	3.0106	98.9935	0.1792	0.0589	1.5691	0.0589	721.3365	0.2508	92.2086	0.2330	0.0589	1.0567	1.1848	8.3883	0.0589	0.0589	0.2208	19.9912	1.5383	0.1039	24.8889	0.4699	0.0776	0.4606	15.6150	0.0589	1.9241	0.1395	79.6125	0.1767	0.0589	0.0589	0.1290	142.0838	28.0801	3.1736	0.0753	0.6257	13.8488	20.5536	0.1440	0.0589	17.4477	3.0660	0.2035	0.0589	0.0589	0.5698	0.0589	0.7798	0.2165	0.0589	0.0589	0.1854	175.5738	1.4742	0.0589	1.0047	0.0589	0.0589	0.0589	0.0589	0.2274	0.0589	0.0589	0.1407	0.0589	0.0589	0.1362	0.1197	2.2036	0.0589	0.0589	0.0589	0.2255
ursodeoxycholate sulfate (1)	Lipid	Secondary Bile Acid Metabolism	0.2845	1.6942	0.2845	2.9823	0.2845	2.5096	11.2219	0.5918	0.2845	0.2845	11.1646	2.6495	0.2845	0.2845	0.2845	0.2845	46.2669	0.2845	188.9126	1.1795	0.2845	0.2845	1.9495	5.3068	0.2845	0.2845	0.2845	0.8205	0.5774	0.5625	0.2845	0.2845	0.2845	3.6632	0.2845	0.2845	2.1488	0.2845	0.4983	0.6612	0.2845	0.2845	0.6291	4.1609	57.6010	0.2845	0.3678	0.2845	0.2845	0.7434	0.2845	0.4188	0.5306	1.4211	0.2845	0.2845	0.2845	0.6251	0.2845	0.2845	0.2845	0.2845	0.2845	0.2845	1.2300	0.2845	0.2845	0.2845	0.2845	0.2845	0.2845	0.2845	0.2845	0.2845	0.3997	0.5372	0.2845	0.2845	0.3193	0.2845	0.4988	0.2845	0.2845	0.2845	0.2845
valerate (5:0)	Lipid	Short Chain Fatty Acid	0.1491	0.4123	0.1491	0.6807	2.1466	0.1491	98.3330	1.2848	0.1491	1.3805	26.3850	137.1684	0.8654	2.7186	0.3048	3.2874	43.2595	0.1491	611.9716	3.7876	0.2853	1.4242	0.6492	0.1491	1.0096	0.7294	0.1491	0.9964	1.1483	0.1491	2.2920	1.2206	0.1491	0.8152	1.3010	0.3261	5.7332	1.2051	29.7325	1.1476	1.1150	0.4292	1.0036	61.1625	15.8022	0.8349	0.4355	0.2774	40.3907	0.9424	0.1491	1.6771	380.3063	1.1994	3.3036	1.6329	0.1491	0.8049	0.4452	0.1491	0.5579	0.3358	0.2806	1.2585	2.1671	0.2024	0.6243	0.5826	0.3041	0.4051	0.3738	0.3068	0.4079	0.5820	0.1491	0.9392	0.6676	0.1491	1.1558	0.1491	0.1491	0.1491	0.1491	0.4965	0.3003
valerylphenylalanine	Amino Acid	Phenylalanine Metabolism	0.1647	0.1647	0.1647	0.3121	0.1647	0.1647	1.5900	0.1647	0.1647	0.1647	0.1647	2.1168	0.1647	0.1647	0.1647	0.1647	1.1027	0.1647	34.3819	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.2508	0.1647	0.5586	0.1647	0.1647	0.1647	0.1647	1.0000	1.2579	0.1647	0.1647	0.1647	1.3379	0.1647	0.1647	0.1647	1.0102	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.7774	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.2157	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.1647	0.2135	0.1647	0.1647	0.1647	0.1647
valine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1.0787	0.6292	0.3467	0.7708	4.2823	0.3144	13.4096	3.1722	1.8813	0.3039	3.2655	27.3410	0.0247	8.3907	1.0458	1.2872	19.6526	1.2208	2.9147	6.5569	0.0075	1.0988	0.1614	1.2951	1.6022	0.0447	3.5220	0.8196	0.5056	0.2776	7.1455	1.3264	1.0393	0.2512	2.1262	0.0326	2.0854	1.3263	0.1403	0.2496	1.1092	3.1450	1.1971	5.6641	0.6415	0.2355	0.9297	1.5060	0.7696	0.0098	0.4661	0.0473	2.4734	1.1797	1.9020	0.2478	0.4575	0.9766	0.0075	1.6287	1.5496	0.1251	0.0914	3.1757	6.2383	0.2373	0.3498	0.5501	0.0581	0.0075	0.7587	0.1033	0.1881	1.8366	0.3273	0.0075	0.0397	2.0868	1.0000	0.5512	1.5426	0.0075	0.2774	1.8714	0.5635
valylglutamine	Peptide	Dipeptide	0.6946	0.2923	0.1060	0.2794	4.2371	0.1750	2.2873	10.1404	6.2901	0.0704	1.4323	4.6772	0.0704	8.2025	4.0570	2.9574	0.2933	5.0287	0.8848	7.1260	0.0704	2.0329	0.5875	3.3325	2.8710	0.4470	1.6746	2.0594	0.1951	0.1270	17.3831	0.1342	0.3200	1.0000	7.1175	0.0704	0.1500	2.2322	0.1136	0.1994	0.0704	2.3929	3.6138	1.4604	0.3678	0.0704	0.3944	3.3314	0.0704	0.0704	0.1217	0.1447	0.2399	1.9665	3.6954	0.2895	1.5237	0.6512	0.0704	2.4937	0.0704	0.0704	0.0819	1.9480	1.2253	0.0704	1.9665	0.4590	0.0704	0.0704	0.2494	0.0704	0.2632	3.6229	0.6207	0.0704	0.0704	0.4137	0.3529	0.1411	1.2126	0.0704	0.0704	1.2199	0.1282
valylglycine	Peptide	Dipeptide	3.2901	1.1719	0.1711	0.5784	9.0242	0.7194	2.0990	3.1788	11.1460	0.4695	2.1155	5.2298	0.0510	16.1909	4.9834	2.9130	6.7254	7.1387	1.2232	7.7000	0.0150	2.1342	0.1127	2.6531	4.4053	0.3309	5.3269	0.4769	0.9654	0.3678	14.6968	0.4671	0.1636	1.2594	1.6229	0.1074	1.4705	4.5509	0.1893	0.3206	0.4567	1.2314	4.0051	1.0346	0.1742	0.0802	0.3764	4.9045	0.4422	0.0150	0.1647	0.2783	0.0790	1.1873	2.8377	0.4779	0.8728	0.9299	0.0150	5.2419	0.2850	0.0150	0.0514	5.9471	2.3764	0.0660	2.7632	0.5061	0.0150	0.0150	0.3711	0.0150	0.2250	2.2934	0.5971	0.0150	0.0150	1.0950	0.9596	0.2511	1.6599	0.0150	0.2086	3.0594	0.4046
valylleucine	Peptide	Dipeptide	0.0914	0.0914	0.0914	0.8377	1.2563	0.1769	8.8275	6.2977	0.9278	0.0914	2.9622	8.9052	0.0914	3.5616	0.6612	0.5376	52.4118	1.3982	6.8896	2.6459	0.0914	0.8476	0.0914	2.8362	2.2574	0.0914	0.5340	1.2142	0.1176	0.0914	37.0281	0.0914	0.0914	0.0914	6.5168	0.0914	0.8735	0.4135	1.0053	0.0914	0.0914	0.9947	0.7575	5.3042	0.7433	0.0914	0.0914	1.0646	0.9143	0.0914	0.0914	0.1081	0.7563	1.0939	2.3301	0.0914	0.0914	0.0914	0.0914	0.8008	0.0914	0.0914	0.0914	1.3534	12.2515	0.0914	0.9640	0.3476	0.0914	0.0914	0.0914	0.0914	0.0914	0.4436	0.0914	0.0914	0.0914	0.1538	1.1829	0.0914	0.2959	0.0914	0.0914	0.0914	0.0914
